,0,1,2,3,4,5,6,7
116,34.0,42.0,48.0,5.0,41.0,34.0,43.0,0
117,51.0,49.0,48.0,5.0,53.0,14.0,26.0,0
118,25.0,51.0,48.0,5.0,37.0,42.0,5.0,0
119,29.0,28.0,48.0,5.0,5.0,42.0,5.0,0
120,25.0,26.0,48.0,5.0,39.0,32.0,42.0,0
121,24.0,41.0,48.0,5.0,49.0,23.0,34.0,0
122,17.0,39.0,48.0,5.0,53.0,3.0,39.0,0
123,4.0,31.0,48.0,5.0,41.0,29.0,39.0,0
124,61.0,36.0,48.0,5.0,49.0,35.0,44.0,0
125,34.0,51.0,48.0,5.0,44.0,37.0,46.0,0
126,28.0,33.0,48.0,5.0,45.0,22.0,33.0,0
127,4.0,46.0,48.0,5.0,42.0,35.0,44.0,0
128,23.0,34.0,48.0,5.0,43.0,26.0,37.0,0
129,37.0,44.0,48.0,5.0,42.0,39.0,47.0,0
130,0.0,38.0,48.0,5.0,42.0,48.0,55.0,0
131,39.0,31.0,48.0,5.0,38.0,34.0,43.0,0
132,3.0,44.0,48.0,5.0,49.0,22.0,33.0,0
133,27.0,3.0,48.0,5.0,71.0,28.0,39.0,0
134,17.0,52.0,48.0,5.0,49.0,37.0,46.0,0
135,36.0,42.0,48.0,5.0,53.0,32.0,41.0,0
136,3.0,37.0,48.0,5.0,43.0,18.0,3.0,0
137,26.0,4.0,48.0,5.0,36.0,26.0,37.0,0
138,4.0,41.0,48.0,5.0,55.0,22.0,33.0,0
139,22.0,34.0,48.0,5.0,42.0,29.0,39.0,0
140,44.0,35.0,48.0,5.0,44.0,52.0,59.0,0
141,27.0,42.0,48.0,5.0,37.0,38.0,43.0,0
142,16.0,43.0,48.0,5.0,54.0,27.0,37.0,0
143,6.0,61.0,48.0,5.0,49.0,92.0,37.0,1
144,44.0,52.0,48.0,5.0,43.0,47.0,54.0,1
145,63.0,47.0,48.0,5.0,51.0,82.0,84.0,1
146,23.0,48.0,48.0,5.0,59.0,88.0,89.0,1
147,34.0,49.0,48.0,5.0,58.0,85.0,8.0,1
148,43.0,4.0,48.0,5.0,58.0,75.0,78.0,1
149,46.0,61.0,48.0,5.0,48.0,86.0,87.0,1
150,27.0,35.0,48.0,5.0,51.0,77.0,79.0,1
151,52.0,39.0,48.0,5.0,65.0,71.0,73.0,1
152,29.0,47.0,48.0,5.0,71.0,65.0,69.0,1
153,55.0,47.0,48.0,5.0,57.0,78.0,8.0,1
154,12.0,67.0,48.0,5.0,74.0,58.0,63.0,1
155,4.0,5.0,48.0,5.0,65.0,82.0,84.0,1
156,73.0,36.0,48.0,5.0,53.0,91.0,92.0,1
157,84.0,44.0,48.0,5.0,48.0,71.0,74.0,1
158,48.0,45.0,48.0,5.0,6.0,78.0,8.0,1
159,54.0,49.0,48.0,5.0,4.0,87.0,88.0,1
160,48.0,41.0,48.0,5.0,51.0,9.0,88.0,1
161,5.0,66.0,48.0,5.0,31.0,92.0,92.0,1
162,72.0,46.0,48.0,5.0,51.0,66.0,7.0,1
163,47.0,55.0,48.0,5.0,58.0,71.0,75.0,1
164,33.0,56.0,48.0,5.0,33.0,78.0,8.0,1
165,64.0,58.0,48.0,5.0,48.0,78.0,73.0,1
166,54.0,57.0,48.0,5.0,56.0,81.0,83.0,1
167,47.0,59.0,48.0,5.0,52.0,76.0,79.0,1
168,63.0,5.0,48.0,5.0,59.0,85.0,86.0,1
169,49.0,42.0,48.0,5.0,53.0,79.0,81.0,1
170,31.0,5.0,48.0,5.0,57.0,84.0,85.0,1
171,74.0,44.0,48.0,5.0,55.0,88.0,89.0,1
172,33.0,45.0,48.0,5.0,45.0,88.0,89.0,1
173,45.0,4.0,48.0,5.0,61.0,74.0,77.0,1
174,71.0,4.0,48.0,5.0,71.0,7.0,74.0,1
175,5.0,37.0,48.0,5.0,66.0,64.0,69.0,1
176,66.0,53.0,48.0,5.0,59.0,66.0,66.0,1
177,6.0,61.0,48.0,5.0,54.0,67.0,71.0,1
178,83.0,37.0,48.0,5.0,61.0,71.0,74.0,1
179,34.0,51.0,48.0,5.0,67.0,9.0,9.0,1
180,63.0,54.0,48.0,5.0,65.0,79.0,81.0,1
181,7.0,4.0,48.0,5.0,56.0,86.0,83.0,1
182,6.0,5.0,1.0,5.0,54.0,77.0,8.0,1
183,16.0,51.0,48.0,5.0,33.0,39.0,48.0,1
184,74.0,7.0,48.0,5.0,66.0,65.0,69.0,1
185,2.0,46.0,48.0,5.0,57.0,78.0,81.0,1
186,89.0,55.0,48.0,5.0,51.0,72.0,76.0,1
187,7.0,46.0,48.0,5.0,56.0,78.0,73.0,1
188,12.0,43.0,48.0,5.0,63.0,7.0,74.0,1
189,61.0,52.0,48.0,5.0,54.0,67.0,52.0,1
190,33.0,37.0,48.0,5.0,46.0,65.0,69.0,1
191,63.0,65.0,48.0,5.0,66.0,67.0,71.0,1
192,41.0,51.0,48.0,5.0,53.0,75.0,78.0,1
193,34.0,67.0,48.0,5.0,52.0,76.0,79.0,1
194,58.0,34.0,48.0,5.0,56.0,87.0,81.0,1
195,59.0,56.0,48.0,5.0,55.0,8.0,82.0,1
196,51.0,4.0,48.0,5.0,57.0,62.0,67.0,1
197,5.0,57.0,48.0,5.0,71.0,61.0,66.0,1
198,6.0,46.0,48.0,5.0,45.0,81.0,83.0,1
199,37.0,47.0,48.0,5.0,39.0,76.0,79.0,1
200,58.0,55.0,48.0,5.0,57.0,7.0,74.0,1
201,36.0,47.0,48.0,5.0,51.0,69.0,72.0,1
202,39.0,41.0,48.0,5.0,52.0,72.0,75.0,1
203,35.0,51.0,48.0,5.0,61.0,71.0,74.0,1
204,31.0,44.0,48.0,5.0,5.0,79.0,82.0,1
205,61.0,66.0,48.0,5.0,46.0,87.0,88.0,1
206,48.0,49.0,48.0,5.0,52.0,77.0,71.0,1
207,11.0,5.0,48.0,5.0,58.0,72.0,68.0,1
208,31.0,36.0,48.0,5.0,58.0,94.0,94.0,1
209,68.0,51.0,48.0,5.0,71.0,75.0,78.0,1
210,69.0,39.0,48.0,5.0,57.0,76.0,79.0,1
211,52.0,54.0,48.0,5.0,62.0,76.0,79.0,1
212,46.0,59.0,48.0,5.0,36.0,76.0,23.0,1
213,36.0,45.0,48.0,5.0,38.0,79.0,17.0,1
214,0.0,51.0,48.0,5.0,35.0,67.0,44.0,1
215,1.0,49.0,48.0,5.0,41.0,67.0,21.0,1
216,3.0,51.0,48.0,5.0,42.0,61.0,34.0,1
217,61.0,47.0,48.0,5.0,0.0,8.0,32.0,1
218,63.0,75.0,48.0,5.0,64.0,73.0,66.0,1
219,71.0,52.0,48.0,5.0,64.0,1.0,99.0,1
220,85.0,53.0,48.0,5.0,53.0,52.0,35.0,3
221,63.0,49.0,48.0,5.0,54.0,76.0,79.0,3
222,75.0,55.0,1.0,1.0,4.0,47.0,3.0,2
223,7.0,39.0,1.0,5.0,51.0,82.0,84.0,2
224,72.0,42.0,48.0,5.0,65.0,77.0,79.0,4
225,79.0,41.0,48.0,5.0,66.0,81.0,83.0,4
226,83.0,48.0,48.0,5.0,65.0,76.0,79.0,4
227,69.0,43.0,48.0,5.0,59.0,74.0,77.0,4
228,79.0,36.0,48.0,5.0,46.0,82.0,7.0,4
229,78.0,33.0,48.0,5.0,57.0,77.0,79.0,4
230,75.0,37.0,48.0,5.0,64.0,7.0,74.0,4
231,59.0,29.0,48.0,5.0,64.0,75.0,77.0,4
232,67.0,37.0,48.0,5.0,54.0,64.0,68.0,4
233,66.0,48.0,48.0,5.0,54.0,7.0,74.0,4
234,64.0,46.0,48.0,5.0,48.0,73.0,76.0,4
235,76.0,71.0,48.0,5.0,5.0,71.0,75.0,4
236,84.0,49.0,48.0,5.0,55.0,78.0,74.0,4
237,77.0,55.0,48.0,5.0,51.0,78.0,74.0,4
238,81.0,44.0,48.0,5.0,42.0,67.0,68.0,4
239,58.0,6.0,48.0,5.0,59.0,73.0,76.0,4
240,63.0,42.0,48.0,5.0,48.0,77.0,8.0,4
241,62.0,42.0,48.0,5.0,58.0,79.0,81.0,4
242,86.0,39.0,48.0,5.0,59.0,89.0,9.0,4
243,81.0,53.0,48.0,5.0,57.0,87.0,88.0,4
244,87.0,49.0,48.0,5.0,61.0,76.0,79.0,4
245,47.0,46.0,48.0,5.0,62.0,74.0,77.0,4
246,76.0,41.0,48.0,5.0,5.0,59.0,62.0,4
247,7.0,53.0,48.0,5.0,7.0,86.0,87.0,4
248,64.0,45.0,48.0,5.0,67.0,61.0,66.0,4
249,81.0,52.0,48.0,5.0,57.0,78.0,8.0,4
250,73.0,26.0,48.0,5.0,57.0,75.0,78.0,4
251,49.0,61.0,1.0,5.0,56.0,71.0,74.0,4
252,88.0,42.0,48.0,5.0,52.0,73.0,75.0,4
253,84.0,54.0,48.0,5.0,75.0,92.0,7.0,4
254,63.0,51.0,48.0,5.0,64.0,72.0,76.0,4
255,86.0,55.0,48.0,5.0,63.0,81.0,83.0,4
256,79.0,54.0,48.0,5.0,5.0,66.0,68.0,4
257,57.0,38.0,48.0,5.0,6.0,49.0,33.0,4
258,78.0,44.0,48.0,5.0,45.0,73.0,68.0,4
259,78.0,68.0,48.0,5.0,83.0,4.0,29.0,5
260,63.0,69.0,48.0,5.0,65.0,41.0,28.0,5
261,67.0,88.0,48.0,5.0,73.0,5.0,25.0,5
262,61.0,75.0,48.0,5.0,51.0,33.0,33.0,5
263,67.0,84.0,48.0,5.0,74.0,54.0,37.0,5
264,74.0,9.0,48.0,5.0,57.0,53.0,29.0,5
265,73.0,84.0,48.0,5.0,86.0,58.0,29.0,5
266,75.0,76.0,48.0,5.0,83.0,57.0,3.0,5
267,77.0,57.0,48.0,5.0,88.0,53.0,2.0,5
268,74.0,78.0,48.0,5.0,75.0,54.0,15.0,5
269,68.0,76.0,48.0,5.0,84.0,45.0,27.0,5
270,56.0,68.0,48.0,5.0,77.0,36.0,45.0,5
271,65.0,51.0,48.0,5.0,66.0,54.0,33.0,5
272,52.0,81.0,48.0,5.0,72.0,38.0,38.0,5
273,64.0,57.0,48.0,5.0,7.0,33.0,26.0,5
274,6.0,76.0,1.0,5.0,77.0,59.0,52.0,5
275,69.0,59.0,48.0,5.0,77.0,39.0,21.0,5
276,63.0,49.0,48.0,5.0,79.0,45.0,28.0,5
277,71.0,71.0,48.0,5.0,68.0,43.0,36.0,5
278,68.0,63.0,48.0,5.0,73.0,4.0,3.0,5
279,77.0,57.0,1.0,5.0,37.0,54.0,1.0,6
280,66.0,49.0,1.0,5.0,54.0,56.0,36.0,6
281,71.0,46.0,1.0,5.0,52.0,59.0,3.0,6
282,67.0,55.0,1.0,5.0,66.0,58.0,16.0,6
283,68.0,49.0,1.0,5.0,62.0,55.0,28.0,6
284,74.0,49.0,48.0,5.0,42.0,54.0,36.0,7
285,7.0,61.0,48.0,5.0,56.0,52.0,43.0,7
286,66.0,86.0,48.0,5.0,34.0,41.0,36.0,7
287,73.0,78.0,48.0,5.0,58.0,51.0,31.0,7
288,65.0,57.0,48.0,5.0,47.0,47.0,51.0,7
289,72.0,86.0,48.0,5.0,17.0,55.0,21.0,7
290,67.0,7.0,48.0,5.0,46.0,45.0,33.0,7
291,67.0,81.0,48.0,5.0,54.0,49.0,23.0,7
292,67.0,61.0,48.0,5.0,51.0,37.0,38.0,7
293,63.0,1.0,48.0,5.0,35.0,51.0,49.0,7
294,57.0,59.0,48.0,5.0,39.0,47.0,33.0,7
295,71.0,71.0,48.0,5.0,4.0,54.0,39.0,7
296,66.0,74.0,48.0,5.0,31.0,38.0,43.0,7
297,67.0,81.0,48.0,5.0,25.0,42.0,25.0,7
298,64.0,72.0,48.0,5.0,49.0,42.0,19.0,7
299,68.0,82.0,48.0,5.0,38.0,65.0,56.0,7
300,32.0,39.0,48.0,5.0,53.0,28.0,38.0,7
301,7.0,64.0,48.0,5.0,47.0,51.0,47.0,7
302,63.0,57.0,48.0,5.0,49.0,7.0,2.0,7
303,74.0,82.0,48.0,5.0,49.0,49.0,41.0,7
304,63.0,86.0,48.0,5.0,39.0,47.0,34.0,7
305,63.0,83.0,48.0,5.0,4.0,39.0,19.0,7
306,63.0,71.0,48.0,5.0,6.0,4.0,39.0,7
307,71.0,86.0,48.0,5.0,4.0,54.0,32.0,7
308,68.0,78.0,48.0,5.0,43.0,44.0,42.0,7
309,64.0,84.0,48.0,5.0,37.0,45.0,4.0,7
310,74.0,47.0,48.0,5.0,5.0,57.0,42.0,7
311,75.0,84.0,48.0,5.0,35.0,52.0,33.0,7
312,63.0,65.0,48.0,5.0,39.0,44.0,35.0,7
313,69.0,67.0,48.0,5.0,3.0,39.0,24.0,7
314,7.0,71.0,48.0,5.0,42.0,84.0,85.0,7
315,69.0,8.0,48.0,5.0,46.0,57.0,26.0,7
316,64.0,66.0,48.0,5.0,41.0,39.0,2.0,7
317,63.0,8.0,48.0,5.0,46.0,31.0,29.0,7
318,66.0,71.0,48.0,5.0,41.0,5.0,35.0,7
319,69.0,59.0,48.0,5.0,46.0,44.0,52.0,7
320,68.0,67.0,48.0,5.0,49.0,4.0,34.0,7
321,64.0,78.0,48.0,5.0,5.0,36.0,38.0,7
322,62.0,78.0,48.0,5.0,47.0,49.0,54.0,7
323,76.0,73.0,48.0,5.0,44.0,39.0,39.0,7
324,64.0,81.0,48.0,5.0,37.0,39.0,44.0,7
325,29.0,39.0,48.0,5.0,52.0,4.0,48.0,7
326,62.0,83.0,48.0,5.0,46.0,36.0,4.0,7
327,56.0,54.0,48.0,5.0,43.0,37.0,3.0,7
328,69.0,66.0,48.0,5.0,41.0,5.0,25.0,7
329,69.0,65.0,48.0,5.0,63.0,48.0,41.0,7
330,43.0,59.0,48.0,5.0,52.0,49.0,56.0,7
331,74.0,56.0,48.0,5.0,47.0,68.0,3.0,7
332,71.0,57.0,48.0,5.0,48.0,35.0,32.0,7
333,61.0,6.0,48.0,5.0,44.0,39.0,38.0,7
334,59.0,61.0,48.0,5.0,42.0,42.0,37.0,7
335,74.0,74.0,48.0,5.0,31.0,53.0,52.0,7
