,0,1,2,3,4,5,6,7,8,9
218,41,0,81,0,38,-3,41,43,2,1
219,46,0,88,0,46,0,41,41,0,1
220,43,0,77,0,42,0,34,36,2,1
221,45,2,76,-3,44,-5,31,32,0,1
222,41,1,97,0,42,4,55,55,0,1
223,37,0,81,2,26,0,44,55,10,1
224,83,0,86,0,-4,0,3,92,88,5
225,56,0,81,4,-22,0,25,104,80,4
226,43,0,87,0,42,-6,44,46,2,1
227,56,4,98,-4,42,0,42,57,14,4
228,46,2,78,0,46,9,32,32,0,1
229,37,0,79,0,26,-4,42,53,12,1
230,43,-1,83,0,42,-6,39,41,2,1
231,37,0,83,1,24,0,46,59,14,1
232,55,0,95,-2,50,0,40,46,6,4
233,56,3,89,0,56,0,33,32,0,1
234,37,0,78,0,0,-11,42,78,36,1
235,48,1,87,-6,46,-4,39,41,2,1
236,37,0,90,0,30,9,53,59,6,1
237,55,0,96,0,46,9,41,50,8,4
238,51,-3,84,4,52,1,33,32,0,1
239,37,0,78,0,12,11,41,65,24,1
240,37,0,97,-6,34,0,59,63,4,1
241,45,-1,77,2,44,0,32,33,0,1
242,49,0,84,0,50,18,35,35,0,1
243,53,0,81,4,52,-22,28,29,2,1
244,37,2,90,0,28,0,53,62,8,1
245,37,0,77,1,36,0,41,41,0,1
246,70,57,82,0,-42,-4,12,126,114,2
247,61,-2,111,0,60,0,50,52,2,1
248,59,0,86,0,60,21,28,27,0,1
249,49,0,95,3,50,4,46,46,0,1
250,45,2,86,6,44,0,41,42,2,1
251,45,0,79,0,46,6,33,32,0,1
252,56,0,78,0,44,1,22,34,12,4
253,55,-3,96,0,54,-3,41,42,2,1
254,49,0,78,0,50,3,29,29,0,1
255,39,3,77,0,38,0,38,38,0,1
256,55,-1,79,-8,20,-13,23,58,34,4
257,56,0,86,0,56,15,31,30,0,1
258,37,0,81,0,18,-26,44,63,18,1
259,41,0,82,-2,38,-3,41,43,2,1
260,45,-3,88,0,44,0,44,44,0,1
261,37,0,83,0,8,24,46,75,30,1
262,43,0,77,0,42,-8,34,36,2,1
263,84,6,89,0,6,-6,5,84,78,5
264,37,0,79,-1,6,-23,43,74,32,1
265,37,0,81,0,38,7,43,42,0,1
266,43,0,77,0,42,-19,34,35,2,1
267,56,-1,98,4,50,23,42,49,6,4
268,50,1,78,-2,50,0,28,29,2,1
269,39,3,86,0,38,0,48,48,0,1
270,43,0,81,0,42,-10,37,39,2,1
271,37,0,79,0,36,9,42,43,2,1
272,58,-4,91,0,56,0,33,34,0,1
273,45,0,93,2,44,0,49,50,0,1
274,38,3,76,0,38,8,38,37,0,1
275,37,0,79,-3,36,-1,41,43,2,1
276,79,6,83,1,-40,13,4,124,120,5
277,36,-1,76,0,36,0,39,39,0,1
278,85,-3,88,0,2,-25,3,86,82,5
279,37,3,77,0,36,0,41,41,0,1
280,37,0,77,0,26,-19,41,52,10,1
281,45,0,79,0,46,14,34,33,0,1
282,54,4,77,0,28,0,23,48,26,4
283,43,-5,77,0,44,19,34,33,0,1
284,41,0,83,2,38,-1,42,44,2,1
285,43,0,77,10,42,-34,34,36,2,1
286,56,2,81,4,-4,0,25,86,62,4
287,55,0,82,0,-32,9,26,115,90,4
288,37,0,103,0,24,16,66,80,14,1
289,50,1,90,3,50,0,39,41,2,1
290,45,0,84,8,44,-8,39,41,2,1
291,48,0,89,4,46,-7,41,42,2,1
292,85,0,88,-3,6,0,3,83,80,5
293,47,-2,106,0,46,0,59,60,0,1
294,37,-6,78,0,10,0,42,68,26,1
295,37,-38,106,-104,30,-17,69,75,6,3
296,58,0,91,2,56,0,33,34,2,1
297,46,0,78,-7,46,5,32,32,0,1
298,55,0,95,-2,50,-10,40,46,6,4
299,56,0,82,0,56,10,26,25,0,1
300,55,0,92,0,46,-3,37,46,8,4
301,39,-2,86,0,38,0,46,47,0,1
302,51,2,81,-5,50,0,30,32,2,1
303,37,0,75,0,20,11,38,54,16,1
304,41,-2,80,0,38,-20,39,41,2,1
305,53,0,86,0,52,-10,33,34,2,1
306,46,2,88,0,46,3,42,41,0,1
307,37,0,78,0,6,-4,41,73,32,1
308,44,0,79,-2,44,0,35,35,0,1
309,38,-3,76,0,38,0,38,37,0,1
310,52,4,91,0,52,0,38,39,0,1
311,37,0,93,0,16,4,55,77,22,1
312,56,0,77,0,-22,23,21,100,80,4
313,44,4,82,-7,44,1,38,38,0,1
314,37,0,79,-4,24,0,42,55,14,1
315,46,0,87,-7,46,0,41,41,0,1
316,52,-3,86,0,52,-4,33,34,0,1
317,41,0,79,0,38,0,39,41,2,1
318,56,0,80,0,54,-15,24,26,2,1
319,82,1,86,0,-6,0,3,94,90,5
320,60,-5,111,0,60,0,50,51,2,1
321,44,1,88,0,44,4,44,44,0,1
322,46,1,87,0,46,7,41,41,0,1
323,52,-3,88,0,52,0,35,36,0,1
324,37,0,78,0,-2,-6,42,81,40,1
325,43,0,78,-7,42,0,35,37,2,1
326,37,0,84,0,18,-25,47,66,18,1
327,42,-4,85,0,42,0,43,44,2,1
328,43,0,79,3,42,0,37,38,2,1
329,78,-2,82,0,-40,0,4,123,120,5
330,48,0,88,0,46,0,39,41,2,1
331,55,0,90,0,54,0,36,36,0,1
332,78,0,82,-2,-40,0,4,123,120,5
333,39,1,77,2,38,0,38,38,0,1
334,43,1,77,0,42,0,34,35,2,1
335,107,-2,108,-2,70,-28,1,38,38,5
336,55,-1,81,-6,54,-8,26,27,0,1
337,41,0,106,0,38,-28,64,67,2,1
338,58,-4,85,0,56,0,28,28,0,1
339,37,0,76,0,34,13,39,42,4,1
340,42,-1,78,0,42,0,36,37,2,1
341,42,5,82,0,42,0,40,41,0,1
342,53,0,103,-1,52,-17,50,51,2,1
343,42,2,75,0,42,0,33,34,0,1
344,37,4,106,0,18,0,68,88,20,1
345,49,-1,81,0,50,5,33,32,0,1
346,46,0,77,5,46,0,31,30,0,1
347,56,4,95,0,44,26,40,51,12,4
348,41,1,107,0,38,-7,66,68,2,1
349,56,0,77,0,10,5,22,67,46,4
350,37,0,76,-2,26,1,39,50,12,1
351,44,-4,77,0,44,4,34,34,0,1
352,49,-2,83,0,50,0,34,34,0,1
353,56,0,78,0,12,19,22,65,42,4
354,52,2,81,0,52,0,29,29,0,1
355,37,0,77,0,2,-11,40,75,34,1
356,55,0,82,0,-24,-16,26,108,82,4
357,37,0,83,0,6,-5,47,78,32,1
358,55,0,95,0,46,27,40,49,8,4
359,46,4,77,0,44,-21,32,34,2,1
360,51,1,81,0,52,12,29,29,0,1
361,37,0,106,0,28,-9,69,78,8,1
362,54,3,83,-3,54,0,29,29,0,1
363,102,0,103,0,72,24,1,31,30,5
364,62,0,109,0,62,23,48,47,0,1
365,55,0,93,0,50,25,37,44,6,4
366,44,0,82,1,44,1,38,38,0,1
367,45,4,87,-1,44,0,42,43,2,1
368,45,0,81,0,44,-3,36,37,2,1
369,56,0,77,0,20,-28,22,57,36,4
370,37,-1,76,-3,20,-7,39,55,16,1
371,56,0,79,0,12,11,23,66,42,4
372,45,0,88,2,44,0,44,44,0,1
373,44,0,87,-5,44,0,43,43,0,1
374,37,-3,77,0,38,8,39,38,0,1
375,37,0,77,1,20,0,40,56,16,1
376,37,-15,78,0,10,0,42,68,26,1
377,56,1,80,0,56,1,24,23,0,1
378,47,-4,86,0,46,0,39,39,0,1
379,49,-4,107,-1,50,0,58,58,0,1
380,57,0,82,0,56,0,25,25,0,1
381,41,1,108,0,42,10,66,66,0,1
382,37,0,79,0,10,13,42,68,26,1
383,62,-2,108,0,60,0,45,48,2,1
384,43,0,86,0,44,21,43,42,0,1
385,55,0,87,-1,56,18,32,30,0,1
386,47,-1,86,-2,46,0,39,39,0,1
387,45,-4,81,1,44,-21,36,37,2,1
388,57,0,88,-1,56,0,31,31,0,1
389,37,0,76,0,30,-23,40,45,6,1
390,41,-1,100,0,42,0,59,59,0,1
391,49,-1,79,0,50,1,30,30,0,1
392,37,0,104,-2,16,-14,67,89,22,1
393,55,0,92,0,30,-7,37,61,24,4
394,107,-2,108,-1,70,-23,1,38,38,5
395,55,0,98,-3,50,18,42,49,6,4
396,56,3,85,0,56,23,29,28,0,1
397,44,2,83,0,44,9,39,39,0,1
398,49,-1,86,0,50,4,37,37,0,1
399,37,0,78,0,8,21,41,70,30,1
400,106,0,107,-5,70,0,1,37,36,5
401,37,0,78,0,12,-9,41,65,24,1
402,43,0,102,0,44,15,59,58,0,1
403,56,0,92,0,56,0,36,35,0,1
404,42,0,79,6,42,0,36,37,2,1
405,37,0,93,-7,12,0,55,80,24,1
406,66,0,109,0,68,4,43,42,0,1
407,39,0,79,-1,38,-2,41,41,0,1
408,37,0,79,3,8,0,42,71,30,1
409,84,1,87,0,-4,0,3,92,88,5
410,51,-4,86,0,52,17,35,34,0,1
411,52,-3,84,0,52,0,31,32,0,1
412,49,0,95,0,46,-6,47,49,2,1
413,37,0,95,0,18,22,58,77,20,1
414,50,-3,81,0,50,0,31,32,2,1
415,44,0,81,2,42,-12,37,39,2,1
416,37,0,76,0,20,-20,40,55,16,1
417,45,0,82,0,44,-11,37,38,2,1
418,37,0,78,0,2,-24,42,75,34,1
419,43,0,81,-7,42,0,38,40,2,1
420,41,-1,81,0,42,0,39,39,0,1
421,55,0,82,0,-38,-6,26,121,94,4
422,45,-1,88,0,44,0,44,44,0,1
423,37,0,106,0,34,-12,69,72,4,1
424,45,0,79,0,46,5,34,33,0,1
425,37,0,79,0,10,224,42,69,26,1
426,76,0,81,8,-40,9,5,122,116,5
427,44,-1,85,0,44,3,41,41,0,1
428,43,-1,76,0,44,19,32,32,0,1
429,56,-2,97,2,42,-16,41,56,14,4
430,56,2,88,0,54,-5,32,33,2,1
431,48,0,81,-4,46,0,32,34,2,1
432,55,1,77,0,54,0,23,23,0,1
433,37,2,97,0,34,-2,60,64,4,1
434,55,0,78,-1,0,-3,23,78,56,4
435,56,0,96,4,34,0,40,62,22,4
436,44,0,86,0,42,-19,42,44,2,1
437,55,-4,96,0,50,0,41,47,6,4
438,37,0,78,0,-2,4,42,81,40,1
439,49,1,95,-3,50,0,46,46,0,1
440,37,0,95,1,10,0,58,84,26,1
441,44,0,99,-1,42,-16,56,58,2,1
442,107,-4,108,0,70,0,1,38,36,5
443,37,0,77,0,26,-7,41,52,10,1
444,56,0,86,1,56,0,31,30,0,1
445,56,0,76,0,-12,-19,20,89,68,4
446,42,0,80,-7,42,0,38,39,0,1
447,37,0,76,0,36,3,39,39,0,1
448,80,1,84,0,-28,0,4,112,108,5
449,45,3,79,0,44,-2,34,35,2,1
450,43,0,89,5,42,0,46,48,2,1
451,44,1,86,0,44,4,43,42,0,1
452,50,-1,86,0,50,-1,36,37,0,1
453,51,-1,86,0,50,-6,36,37,2,1
454,45,-1,78,-6,46,14,33,32,0,1
455,46,0,86,0,46,4,41,40,0,1
456,37,0,83,0,30,-23,46,52,6,1
457,42,5,84,1,42,0,42,43,0,1
458,56,0,89,0,56,0,33,32,0,1
459,37,0,79,-5,26,0,43,54,10,1
460,42,-1,88,0,42,0,45,46,2,1
461,37,0,75,0,20,5,38,54,16,1
462,37,0,96,0,18,-29,59,78,18,1
463,85,0,89,0,6,26,4,84,80,5
464,56,0,96,-2,52,-1,40,44,4,4
465,53,0,84,0,54,11,32,30,0,1
466,56,0,79,-1,6,-3,23,74,50,4
467,37,0,81,0,24,-18,44,57,14,1
468,37,0,77,5,26,0,40,51,10,1
469,41,0,76,0,42,25,35,35,0,1
470,41,-5,88,0,42,10,47,46,0,1
471,45,-4,107,0,44,-19,62,63,2,1
472,56,0,107,0,56,26,51,50,0,1
473,49,1,106,0,46,-3,58,60,2,1
474,45,1,86,-3,44,0,40,42,2,1
475,50,-2,81,-6,50,-8,32,32,0,1
476,48,-2,95,0,46,-3,47,49,2,1
477,56,0,97,-2,52,1,41,45,4,4
478,56,0,93,2,46,0,37,46,10,4
479,37,0,83,-1,18,0,47,65,18,1
480,41,0,82,0,38,-21,41,43,2,1
481,55,0,77,1,-18,8,21,95,74,4
482,62,0,109,0,62,11,48,47,0,1
483,56,0,97,0,52,21,41,46,4,4
484,43,-2,77,0,42,-16,34,36,2,1
485,50,0,110,1,50,0,60,61,2,1
486,37,0,77,0,34,-2,40,44,4,1
487,48,-4,79,0,46,0,31,33,2,1
488,37,0,77,0,0,-10,40,77,36,1
489,49,1,78,0,50,14,29,29,0,1
490,55,1,81,0,54,0,27,27,0,1
491,58,3,81,-5,56,0,24,24,0,1
492,37,0,81,5,34,1,43,47,4,1
493,46,-2,93,3,46,5,47,46,0,1
494,41,-3,78,0,42,12,37,37,0,1
495,46,5,86,0,46,7,40,39,0,1
496,56,0,96,0,54,14,40,42,2,1
497,42,-3,99,0,42,0,57,58,2,1
498,45,-3,85,-1,44,0,41,41,0,1
499,41,0,81,0,42,17,40,39,0,1
500,46,0,88,0,44,-26,42,44,2,1
501,80,-4,84,0,-14,0,4,99,96,5
502,85,0,88,1,-2,0,3,91,88,5
503,37,0,75,0,26,23,38,49,12,1
504,56,-1,96,0,54,3,40,42,2,1
505,55,0,78,0,6,-31,23,73,50,4
506,55,-1,79,-6,20,-20,24,59,34,4
507,41,2,86,5,42,10,45,45,0,1
508,37,0,77,0,26,-2,41,52,10,1
509,83,0,86,0,-6,-21,3,94,90,5
510,56,1,77,0,16,-1,22,62,40,4
511,41,-2,81,0,42,6,40,39,0,1
512,55,0,78,0,24,-24,23,55,32,4
513,44,-3,86,0,44,0,42,42,0,1
514,44,2,84,0,44,15,40,40,0,1
515,44,0,76,1,44,8,32,32,0,1
516,37,0,77,0,28,511,40,48,8,1
517,37,0,81,0,24,-5,44,57,14,1
518,44,3,76,0,44,12,32,32,0,1
519,37,0,77,-1,34,2,40,43,4,1
520,37,0,79,0,36,-8,42,43,2,1
521,54,-1,82,0,54,0,28,28,0,1
522,49,0,95,2,50,1,46,46,0,1
523,37,0,76,0,28,24,39,48,8,1
524,44,1,86,0,44,22,42,42,0,1
525,45,0,77,0,44,-14,32,34,2,1
526,42,-2,85,0,42,0,43,44,0,1
527,51,0,83,0,52,9,32,32,0,1
528,37,0,78,-4,28,0,41,50,8,1
529,42,0,78,-3,42,0,37,37,0,1
530,55,0,96,1,42,-5,41,55,14,4
531,47,0,76,7,46,0,30,30,0,1
532,57,0,82,5,56,0,25,25,0,1
533,56,0,95,0,54,1,39,41,2,1
534,55,0,82,0,-12,-13,26,95,68,4
535,56,5,80,0,-2,4,24,83,58,4
536,105,0,106,-3,72,8,1,34,34,5
537,56,0,82,0,56,27,26,25,0,1
538,45,0,77,0,46,31,31,30,0,1
539,57,0,81,3,56,0,24,24,0,1
540,59,0,86,0,60,3,28,27,0,1
541,55,1,96,4,50,0,41,47,6,4
542,37,0,81,0,20,6,44,60,16,1
543,43,0,77,-7,42,0,34,36,2,1
544,51,5,102,0,52,9,51,50,0,1
545,37,0,95,-2,18,-10,58,77,18,1
546,56,0,77,0,-10,5,21,87,66,4
547,37,0,81,0,38,9,43,42,0,1
548,58,0,88,5,56,0,30,31,2,1
549,37,0,106,0,24,-2,69,83,14,1
550,43,-2,81,0,42,-10,37,39,2,1
551,42,4,86,0,42,0,43,44,2,1
552,43,-1,83,0,42,-3,40,42,2,1
553,43,1,102,0,42,0,60,61,2,1
554,56,0,90,0,54,-16,34,35,2,1
555,44,0,86,-2,42,-30,42,44,2,1
556,43,0,86,2,42,-1,43,45,2,1
557,55,0,77,-4,28,-12,21,48,28,4
558,37,0,106,7,36,0,69,70,2,1
559,64,0,113,0,62,-12,48,51,2,1
560,44,3,81,0,42,-13,37,39,2,1
561,37,0,79,-4,36,-5,41,43,2,1
562,37,0,78,0,10,20,41,68,26,1
563,45,0,86,6,44,-12,41,42,2,1
564,41,0,83,0,42,9,41,41,0,1
565,49,0,82,0,50,11,33,33,0,1
566,76,2,81,1,-40,11,5,122,118,5
567,53,0,86,1,52,-14,33,35,2,1
568,37,0,76,-1,30,0,39,45,6,1
569,55,4,86,0,54,0,30,32,2,1
570,50,3,77,5,50,0,27,28,2,1
571,37,-1,106,-3,36,-5,69,69,0,1
572,41,0,83,0,42,10,41,41,0,1
573,37,0,98,0,30,-13,61,67,6,1
574,39,-3,78,6,38,0,39,39,0,1
575,37,-2,75,0,36,-13,37,39,2,1
576,37,0,77,0,-24,-3,41,103,62,1
577,55,0,83,0,-30,-2,27,114,86,4
578,43,0,81,0,42,-4,38,40,2,1
579,49,3,102,0,50,2,53,53,0,1
580,38,-3,77,6,38,0,39,38,0,1
581,45,0,76,-1,44,-6,31,32,2,1
582,37,-5,77,0,36,1,40,41,0,1
583,46,2,83,0,46,10,37,37,0,1
584,37,0,95,0,16,-7,58,79,22,1
585,37,0,83,1,-2,0,46,85,40,1
586,59,0,86,0,56,-5,27,29,2,1
587,37,0,83,0,16,-24,47,68,22,1
588,45,-1,79,0,46,9,34,33,0,1
589,45,-1,88,0,44,-16,42,44,2,1
590,55,2,72,-13,0,1,17,72,56,4
591,38,0,107,0,38,5,69,68,0,1
592,45,-4,79,0,44,-15,33,35,2,1
593,44,-3,77,0,44,17,33,33,0,1
594,81,0,84,0,-22,-13,4,108,104,5
595,37,0,81,-1,36,0,44,45,0,1
596,48,0,82,-1,46,-2,34,35,2,1
597,41,0,80,2,42,0,39,39,0,1
598,41,-4,77,0,42,0,36,36,0,1
599,47,3,86,2,46,0,40,40,0,1
600,37,0,78,0,18,-5,41,60,18,1
601,41,0,79,4,42,5,38,38,0,1
602,42,2,86,1,42,0,44,45,2,1
603,62,0,109,2,60,0,47,49,2,1
604,49,0,85,0,50,8,36,36,0,1
605,64,1,113,3,62,0,49,51,2,1
606,37,0,77,4,8,0,41,70,28,1
607,37,0,77,-2,8,0,40,69,28,1
608,48,0,84,8,46,0,36,37,2,1
609,45,0,85,1,46,18,40,39,0,1
610,47,0,86,-7,46,0,39,40,0,1
