,0,1,2,3,4,5,6,7,8
102,0.47,0.47,0.57,0.48,0.5,0.0,0.48,0.22,6
103,0.35,0.52,0.48,0.22,0.5,0.0,0.26,0.22,6
104,0.47,0.41,0.66,0.26,0.5,0.0,0.53,0.22,6
105,0.64,0.62,0.29,0.28,0.5,0.0,0.51,0.22,6
106,0.55,0.53,0.55,0.46,0.5,0.0,0.52,0.22,6
107,0.67,0.62,0.54,0.43,0.5,0.0,0.53,0.22,6
108,0.54,0.55,0.34,0.31,0.5,0.0,0.54,0.22,5
109,0.58,0.62,0.54,0.17,0.5,0.0,0.48,0.22,6
110,0.4,0.38,0.53,0.16,0.5,0.0,0.52,0.27,7
111,0.46,0.71,0.48,0.53,0.5,0.0,0.53,0.22,6
112,0.53,0.51,0.55,0.05,0.5,0.0,0.45,0.25,7
113,0.5,0.64,0.57,0.15,0.5,0.0,0.47,0.22,0
114,0.4,0.62,0.52,0.31,0.5,0.0,0.49,0.31,0
115,0.6,0.5,0.57,0.25,0.5,0.0,0.41,0.26,0
116,0.62,0.51,0.52,0.42,0.5,0.0,0.54,0.27,7
117,0.35,0.58,0.54,0.16,0.5,0.0,0.51,0.22,7
118,0.34,0.54,0.5,0.21,0.5,0.0,0.54,0.31,0
119,0.39,0.58,0.5,0.26,0.5,0.0,0.54,0.59,5
120,0.48,0.54,0.5,0.17,0.5,0.0,0.53,0.22,7
121,0.29,0.32,0.58,0.15,0.5,0.0,0.5,0.3,0
122,0.47,0.32,0.64,0.3,0.5,0.0,0.63,0.22,7
123,0.39,0.47,0.56,0.16,0.5,0.0,0.47,0.22,0
124,0.58,0.48,0.51,0.47,0.5,0.0,0.55,0.22,7
125,0.64,0.6,0.57,0.19,0.5,0.0,0.43,0.22,7
126,0.43,0.57,0.53,0.16,0.5,0.0,0.54,0.22,0
127,0.28,0.37,0.61,0.09,0.5,0.0,0.52,0.55,7
128,0.59,0.48,0.5,0.14,0.5,0.0,0.45,0.25,0
129,0.39,0.55,0.48,0.31,0.5,0.0,0.54,0.29,0
130,0.26,0.36,0.47,0.34,0.5,0.0,0.53,0.72,7
131,0.44,0.39,0.53,0.14,0.5,0.0,0.54,0.44,0
132,0.45,0.43,0.51,0.24,0.5,0.0,0.54,0.33,0
133,0.36,0.68,0.46,0.16,0.5,0.0,0.53,0.28,7
134,0.42,0.31,0.5,0.15,0.5,0.0,0.53,0.22,7
135,0.42,0.43,0.56,0.1,0.5,0.0,0.49,0.22,0
136,0.67,0.71,0.52,0.65,0.5,0.0,0.53,0.36,7
137,0.49,0.47,0.53,0.16,0.5,0.0,0.48,0.27,7
138,0.71,0.59,0.48,0.43,0.5,0.0,0.59,0.22,6
139,0.4,0.42,0.71,0.21,0.5,0.0,0.54,0.32,0
140,0.4,0.42,0.71,0.21,0.5,0.0,0.54,0.32,0
141,0.54,0.49,0.49,0.2,0.5,0.0,0.52,0.22,0
142,0.42,0.51,0.5,0.12,0.5,0.0,0.52,0.46,7
143,0.57,0.51,0.53,0.18,0.5,0.0,0.56,0.25,7
144,0.35,0.45,0.43,0.11,0.5,0.0,0.56,0.22,5
145,0.42,0.42,0.42,0.2,0.5,0.0,0.49,0.22,5
146,0.26,0.5,0.33,0.28,0.5,0.0,0.51,0.22,5
147,0.39,0.42,0.38,0.4,0.5,0.0,0.49,0.47,5
148,0.26,0.44,0.3,0.11,0.5,0.0,0.51,0.47,5
149,0.31,0.44,0.53,0.23,0.5,0.0,0.51,0.32,7
150,0.66,0.45,0.5,0.23,0.5,0.0,0.49,0.22,0
151,0.21,0.41,0.55,0.11,0.5,0.0,0.5,0.27,0
152,0.38,0.68,0.44,0.45,0.5,0.0,0.53,0.22,6
153,0.44,0.38,0.48,0.32,0.5,0.83,0.53,0.22,8
154,0.31,0.31,0.56,0.33,0.5,0.0,0.52,0.33,7
155,0.49,0.31,0.49,0.35,0.5,0.0,0.51,0.29,7
156,0.39,0.4,0.53,0.67,0.5,0.0,0.47,0.22,0
157,0.24,0.34,0.69,0.18,0.5,0.0,0.52,0.22,0
158,0.49,0.43,0.51,0.13,0.5,0.0,0.47,0.22,0
159,0.54,0.38,0.52,0.18,0.5,0.0,0.48,0.22,0
160,0.43,0.57,0.53,0.53,0.5,0.0,0.53,0.25,0
161,0.48,0.64,0.61,0.23,0.5,0.0,0.6,0.22,0
162,0.31,0.55,0.52,0.17,0.5,0.0,0.52,0.22,0
163,0.32,0.57,0.5,0.15,0.5,0.0,0.53,0.22,0
164,0.32,0.42,0.52,0.24,0.5,0.0,0.6,0.22,0
165,0.59,0.5,0.52,0.28,0.5,0.0,0.55,0.25,0
166,0.37,0.42,0.51,0.11,0.5,0.0,0.57,0.22,0
167,0.75,0.7,0.38,0.27,0.5,0.0,0.49,0.22,3
168,0.61,0.72,0.31,0.33,0.5,0.0,0.56,0.22,6
169,0.44,0.42,0.6,0.21,0.5,0.0,0.57,0.22,0
170,0.52,0.51,0.51,0.54,0.5,0.0,0.55,0.27,6
171,0.63,0.56,0.45,0.58,0.5,0.0,0.51,0.22,6
172,0.58,0.58,0.58,0.49,0.5,0.0,0.49,0.26,6
173,0.72,0.62,0.34,0.29,0.5,0.0,0.56,0.28,6
174,0.72,0.61,0.37,0.3,0.5,0.0,0.57,0.22,6
175,0.46,0.43,0.38,0.33,0.5,0.0,0.48,0.28,6
176,0.57,0.57,0.44,0.37,0.5,0.0,0.52,0.25,6
177,0.49,0.46,0.45,0.45,0.5,0.0,0.52,0.22,6
178,0.42,0.58,0.41,0.65,0.5,0.0,0.46,0.26,6
179,0.59,0.61,0.34,0.22,0.5,0.0,0.51,0.22,6
180,0.52,0.77,0.38,0.34,0.5,0.0,0.51,0.22,6
181,0.5,0.52,0.6,0.51,0.5,0.0,0.48,0.22,6
182,0.49,0.6,0.43,0.56,0.5,0.0,0.36,0.22,6
183,0.5,0.41,0.44,0.5,0.5,0.0,0.42,0.22,6
184,0.5,0.4,0.56,0.7,0.5,0.0,0.5,0.22,6
185,0.37,0.58,0.44,0.51,0.5,0.0,0.44,0.22,6
186,0.55,0.45,0.45,0.54,0.5,0.0,0.5,0.22,6
187,0.67,0.68,0.46,0.29,0.5,0.0,0.46,0.22,6
188,0.53,0.51,0.46,0.28,0.5,0.0,0.48,0.22,0
189,0.35,0.66,0.49,0.21,0.5,0.0,0.54,0.25,0
190,0.52,0.4,0.6,0.12,0.5,0.0,0.55,0.22,0
191,0.77,0.79,0.58,0.23,0.5,0.0,0.48,0.22,2
192,0.47,0.46,0.59,0.49,0.5,0.0,0.56,0.22,6
193,0.78,0.74,0.58,0.25,1.0,0.0,0.53,0.22,1
194,0.7,0.65,0.54,0.28,0.5,0.0,0.6,0.4,9
195,0.47,0.54,0.37,0.14,0.5,0.0,0.5,0.22,5
196,0.57,0.41,0.59,0.24,0.5,0.0,0.4,0.22,0
197,0.56,0.41,0.58,0.21,0.5,0.0,0.42,0.22,0
198,0.58,0.56,0.45,0.12,0.5,0.0,0.51,0.22,7
199,0.53,0.38,0.66,0.25,0.5,0.0,0.43,0.22,7
200,0.34,0.36,0.54,0.11,0.5,0.0,0.36,0.21,7
201,0.69,0.61,0.38,0.27,0.5,0.0,0.52,0.22,4
202,0.37,0.53,0.6,0.19,0.5,0.5,0.42,0.22,8
203,0.41,0.45,0.53,0.17,0.5,0.0,0.51,0.25,7
204,0.31,0.46,0.54,0.52,0.5,0.0,0.5,0.34,7
205,0.36,0.37,0.33,0.14,0.5,0.0,0.57,0.31,5
206,0.82,0.78,0.49,0.23,0.5,0.0,0.46,0.22,2
207,0.82,0.75,0.54,0.23,0.5,0.0,0.46,0.22,2
208,0.41,0.51,0.58,0.15,0.5,0.0,0.45,0.27,0
209,0.38,0.51,0.75,0.17,0.5,0.0,0.55,0.22,0
210,0.38,0.51,0.75,0.17,0.5,0.0,0.55,0.22,0
211,0.53,0.44,0.51,0.33,0.5,0.0,0.52,0.22,6
212,0.46,0.54,0.71,0.15,0.5,0.0,0.59,0.22,6
213,0.4,0.56,0.48,0.14,0.5,0.0,0.47,0.22,6
214,0.53,0.53,0.6,0.13,0.5,0.0,0.49,0.22,6
215,0.42,0.57,0.72,0.22,0.5,0.0,0.57,0.22,6
216,0.45,0.27,0.57,0.36,0.5,0.0,0.52,0.18,0
217,0.2,0.26,0.52,0.14,0.5,0.0,0.53,0.44,0
218,0.51,0.53,0.55,0.14,0.5,0.0,0.51,0.22,0
219,0.44,0.68,0.45,0.51,0.5,0.0,0.52,0.41,6
220,0.27,0.39,0.66,0.11,0.5,0.0,0.44,0.22,6
221,0.55,0.42,0.34,0.3,0.5,0.0,0.52,0.22,5
222,0.34,0.42,0.3,0.23,0.5,0.0,0.53,0.22,5
223,0.44,0.53,0.52,0.23,0.5,0.83,0.51,0.22,8
224,0.59,0.58,0.56,0.21,0.5,0.0,0.54,0.33,7
225,0.39,0.28,0.46,0.12,0.5,0.0,0.41,0.22,7
226,0.36,0.68,0.38,0.08,0.5,0.0,0.53,0.25,9
227,0.27,0.36,0.6,0.33,0.5,0.0,0.37,0.31,7
228,0.35,0.4,0.59,0.22,0.5,0.0,0.47,0.37,7
229,0.42,0.32,0.5,0.21,0.5,0.0,0.51,0.22,7
230,0.23,0.2,0.53,0.2,0.5,0.0,0.44,0.22,7
231,0.55,0.54,0.56,0.22,0.5,0.0,0.5,0.37,7
232,0.36,0.24,0.49,0.16,0.5,0.0,0.51,0.22,7
233,0.38,0.48,0.59,0.22,0.5,0.0,0.46,0.22,0
234,0.6,0.56,0.47,0.2,0.5,0.0,0.5,0.38,7
235,0.41,0.24,0.54,0.26,0.5,0.0,0.41,0.22,7
236,0.47,0.65,0.54,0.62,0.5,0.0,0.53,0.36,6
237,0.43,0.39,0.54,0.14,0.5,0.0,0.47,0.22,7
238,0.5,0.51,0.52,0.09,0.5,0.0,0.48,0.25,7
239,0.53,0.61,0.52,0.21,0.5,0.0,0.55,0.3,7
240,0.54,0.42,0.41,0.16,0.5,0.0,0.52,0.22,4
241,0.46,0.35,0.53,0.16,0.5,0.0,0.51,0.29,0
242,0.46,0.43,0.49,0.79,0.5,0.0,0.49,0.63,7
243,0.51,0.55,0.35,0.16,0.5,0.0,0.51,0.47,5
244,0.56,0.52,0.55,0.19,0.5,0.0,0.54,0.22,0
245,0.61,0.3,0.59,0.12,0.5,0.0,0.49,0.27,7
246,0.37,0.53,0.46,0.23,0.5,0.0,0.47,0.22,7
247,0.83,0.58,0.33,0.04,0.5,0.0,0.53,0.22,4
248,0.52,0.54,0.5,0.21,0.5,0.0,0.48,0.3,0
249,0.78,0.7,0.32,0.23,0.5,0.0,0.53,0.22,3
250,0.55,0.46,0.53,0.11,0.5,0.0,0.52,0.48,0
251,0.45,0.56,0.54,0.32,0.5,0.0,0.57,0.22,0
252,0.45,0.56,0.53,0.32,0.5,0.0,0.57,0.22,0
253,0.52,0.75,0.37,0.14,0.5,0.0,0.46,0.22,5
254,0.71,0.56,0.39,0.27,0.5,0.0,0.52,0.22,4
255,0.58,0.6,0.43,0.12,0.5,0.0,0.55,0.22,5
256,0.54,0.65,0.49,0.34,0.5,0.0,0.52,0.22,0
257,0.57,0.59,0.44,0.16,0.5,0.0,0.52,0.22,4
258,0.59,0.58,0.46,0.19,0.5,0.0,0.56,0.27,0
259,0.92,0.61,0.4,0.22,0.5,0.0,0.54,0.22,4
260,0.55,0.56,0.45,0.14,0.5,0.0,0.54,0.22,0
261,0.63,0.61,0.41,0.22,0.5,0.0,0.51,0.22,5
262,0.58,0.53,0.38,0.18,0.5,0.0,0.52,0.22,5
263,0.36,0.46,0.43,0.19,0.5,0.0,0.48,0.22,5
264,0.32,0.47,0.55,0.12,0.5,0.0,0.52,0.22,0
265,0.34,0.38,0.45,0.19,0.5,0.0,0.51,0.22,4
266,0.53,0.68,0.42,0.19,0.5,0.0,0.53,0.22,5
267,0.73,0.55,0.41,0.16,0.5,0.0,0.46,0.22,4
268,0.55,0.46,0.46,0.31,0.5,0.0,0.58,0.48,7
269,0.35,0.6,0.47,0.13,0.5,0.0,0.52,0.43,7
270,0.77,0.8,0.51,0.4,1.0,0.0,0.54,0.22,1
271,0.77,0.87,0.47,0.37,0.5,0.0,0.48,0.22,2
272,0.35,0.46,0.49,0.15,1.0,0.0,0.55,0.35,0
273,0.43,0.51,0.48,0.14,0.5,0.0,0.5,0.22,0
274,0.57,0.61,0.45,0.26,0.5,0.0,0.5,0.22,0
275,0.63,0.62,0.42,0.12,0.5,0.0,0.52,0.25,0
276,0.25,0.4,0.51,0.18,0.5,0.0,0.5,0.27,0
277,0.56,0.62,0.53,0.24,0.5,0.0,0.57,0.22,0
278,0.58,0.6,0.51,0.24,0.5,0.0,0.53,0.22,0
279,0.71,0.59,0.53,0.15,0.5,0.0,0.49,0.33,0
280,0.46,0.35,0.33,0.17,0.5,0.0,0.55,0.22,5
281,0.54,0.55,0.42,0.22,0.5,0.0,0.48,0.22,5
282,0.33,0.44,0.49,0.08,0.5,0.0,0.48,0.49,7
283,0.81,0.82,0.41,0.36,0.5,0.0,0.39,0.22,2
284,0.46,0.48,0.44,0.21,0.5,0.0,0.55,0.22,8
285,0.35,0.36,0.57,0.17,0.5,0.0,0.52,0.22,0
286,0.74,0.72,0.47,0.25,0.5,0.0,0.57,0.22,3
287,0.54,0.57,0.52,0.19,0.5,0.0,0.59,0.67,7
288,0.42,0.52,0.4,0.17,0.5,0.0,0.5,0.26,5
289,0.91,0.77,0.34,0.47,0.5,0.0,0.52,0.31,3
290,0.45,0.4,0.56,0.14,0.5,0.0,0.54,0.22,0
291,0.47,0.47,0.58,0.16,0.5,0.0,0.49,0.28,0
292,0.41,0.39,0.51,0.52,0.5,0.0,0.49,0.22,0
293,0.37,0.34,0.32,0.22,0.5,0.0,0.56,0.22,5
294,0.69,0.6,0.5,0.31,0.5,0.0,0.55,0.22,0
295,0.35,0.56,0.36,0.3,0.5,0.0,0.53,0.25,5
296,0.84,0.66,0.36,0.78,0.5,0.0,0.49,0.5,3
297,0.51,0.58,0.54,0.29,0.5,0.0,0.53,0.22,0
298,0.37,0.43,0.62,0.27,0.5,0.0,0.48,0.22,7
299,0.55,0.66,0.57,0.32,0.5,0.0,0.57,0.34,0
300,0.62,0.58,0.52,0.15,0.5,0.0,0.52,0.29,0
301,0.56,0.59,0.53,0.16,0.5,0.0,0.24,0.42,7
302,0.44,0.51,0.37,0.15,0.5,0.0,0.51,0.22,5
303,0.44,0.44,0.49,0.15,0.5,0.0,0.46,0.27,7
304,0.5,0.5,0.48,0.17,0.5,0.0,0.47,0.26,0
305,0.6,0.6,0.49,0.3,0.5,0.0,0.53,0.22,7
306,0.49,0.46,0.34,0.21,0.5,0.0,0.55,0.22,5
307,0.35,0.68,0.57,0.4,0.5,0.0,0.53,0.36,7
308,0.7,0.69,0.43,0.33,0.5,0.0,0.58,0.22,3
309,0.23,0.3,0.58,0.22,0.5,0.0,0.48,0.27,7
310,0.45,0.42,0.52,0.2,0.5,0.0,0.5,0.25,0
311,0.51,0.35,0.46,0.15,0.5,0.0,0.51,0.42,0
312,0.42,0.39,0.47,0.13,0.5,0.0,0.5,0.27,0
313,0.32,0.38,0.52,0.2,0.5,0.0,0.52,0.28,0
314,0.59,0.65,0.52,0.3,0.5,0.0,0.46,0.31,0
315,0.37,0.33,0.5,0.12,0.5,0.0,0.51,0.54,0
316,0.45,0.56,0.49,0.17,0.5,0.0,0.52,0.22,0
317,0.56,0.54,0.59,0.14,0.5,0.0,0.52,0.27,7
318,0.31,0.31,0.54,0.18,0.5,0.0,0.52,0.29,7
319,0.27,0.51,0.47,0.35,0.5,0.0,0.49,0.28,7
320,0.54,0.56,0.57,0.18,0.5,0.0,0.45,0.25,7
321,0.17,0.38,0.45,0.09,0.5,0.0,0.54,0.27,7
322,0.43,0.51,0.54,0.15,0.5,0.0,0.45,0.26,7
323,0.6,0.4,0.59,0.18,0.5,0.0,0.48,0.22,0
324,0.91,0.69,0.57,0.45,0.5,0.0,0.56,0.22,4
325,0.38,0.47,0.53,0.12,0.5,0.0,0.48,0.22,0
326,0.59,0.43,0.52,0.19,0.5,0.0,0.55,0.27,0
327,0.64,0.53,0.45,0.13,0.5,0.0,0.53,0.22,0
328,0.49,0.31,0.34,0.13,0.5,0.0,0.52,0.22,5
329,0.52,0.51,0.51,0.12,0.5,0.0,0.51,0.4,0
330,0.49,0.43,0.48,0.15,0.5,0.0,0.55,0.25,0
331,0.49,0.47,0.52,0.16,0.5,0.0,0.53,0.28,0
332,0.48,0.39,0.49,0.18,0.5,0.0,0.51,0.22,0
333,0.49,0.42,0.54,0.17,0.5,0.0,0.5,0.36,0
334,0.34,0.66,0.51,0.16,0.5,0.0,0.47,0.33,7
335,0.2,0.34,0.33,0.1,0.5,0.0,0.48,0.31,5
336,0.74,0.53,0.5,0.08,0.5,0.0,0.55,0.31,0
337,0.69,0.48,0.38,0.15,0.5,0.0,0.55,0.22,4
338,0.3,0.5,0.47,0.11,0.5,0.0,0.46,0.22,0
339,0.44,0.51,0.48,0.38,0.5,0.0,0.52,0.22,0
340,0.55,0.41,0.56,0.21,0.5,0.0,0.52,0.22,0
341,0.4,0.48,0.5,0.17,0.5,0.0,0.54,0.5,0
342,0.58,0.48,0.56,0.1,0.5,0.0,0.46,0.25,7
343,0.58,0.48,0.56,0.12,0.5,0.0,0.46,0.25,7
344,0.58,0.45,0.48,0.24,0.5,0.0,0.52,0.37,0
345,0.58,0.41,0.51,0.26,0.5,0.0,0.51,0.37,0
346,0.41,0.6,0.53,0.29,0.5,0.0,0.47,0.43,7
347,0.69,0.5,0.49,0.42,0.5,0.0,0.49,0.22,6
348,0.6,0.48,0.44,0.52,0.5,0.0,0.54,0.63,7
349,0.47,0.49,0.63,0.17,0.5,0.0,0.31,0.26,7
350,0.28,0.51,0.55,0.11,0.5,0.0,0.46,0.22,7
351,0.56,0.57,0.63,0.39,1.0,0.0,0.59,0.4,7
352,0.21,0.38,0.49,0.16,0.5,0.0,0.51,0.45,0
353,0.46,0.57,0.57,0.15,0.5,0.0,0.52,0.26,7
354,0.57,0.59,0.5,0.58,0.5,0.0,0.53,0.22,6
355,0.48,0.34,0.47,0.14,0.5,0.0,0.47,0.26,0
356,0.35,0.4,0.53,0.18,0.5,0.0,0.42,0.38,0
357,0.47,0.45,0.53,0.62,0.5,0.0,0.46,0.22,6
358,0.53,0.43,0.47,0.15,0.5,0.0,0.58,0.22,0
359,0.46,0.45,0.56,0.16,0.5,0.0,0.56,0.22,0
360,0.44,0.42,0.62,0.14,0.5,0.0,0.55,0.37,7
361,0.37,0.34,0.58,0.24,0.5,0.0,0.44,0.18,7
362,0.39,0.39,0.55,0.52,0.5,0.0,0.37,0.16,7
363,0.39,0.39,0.55,0.52,0.5,0.0,0.37,0.16,7
364,0.48,0.46,0.38,0.29,0.5,0.0,0.53,0.22,5
365,0.48,0.57,0.5,0.09,0.5,0.0,0.52,0.42,7
366,0.61,0.57,0.45,0.21,0.5,0.0,0.5,0.42,7
367,0.53,0.68,0.34,0.42,0.5,0.0,0.54,0.27,5
368,0.51,0.48,0.58,0.22,0.5,0.0,0.5,0.28,7
369,0.51,0.48,0.58,0.22,0.5,0.0,0.5,0.28,7
370,0.53,0.53,0.53,0.17,0.5,0.0,0.49,0.37,7
371,0.29,0.68,0.47,0.26,0.5,0.0,0.47,0.37,7
372,0.5,0.45,0.49,0.15,0.5,0.0,0.55,0.43,7
373,0.33,0.28,0.31,0.24,0.5,0.0,0.53,0.22,5
374,0.85,0.85,0.3,0.31,0.5,0.0,0.55,0.42,3
375,0.43,0.39,0.51,0.28,0.5,0.0,0.4,0.22,7
376,0.61,0.54,0.49,0.16,0.5,0.0,0.54,0.42,0
377,0.34,0.35,0.61,0.19,0.5,0.0,0.52,0.25,7
378,0.55,0.53,0.56,0.29,0.5,0.0,0.48,0.22,6
379,0.44,0.41,0.58,0.2,0.5,0.0,0.57,0.25,0
380,0.37,0.62,0.34,0.25,0.5,0.0,0.51,0.22,5
381,0.45,0.56,0.51,0.64,0.5,0.0,0.54,0.22,6
382,0.38,0.46,0.52,0.75,0.5,0.0,0.5,0.26,6
383,0.61,0.54,0.49,0.19,0.5,0.0,0.54,0.47,0
384,0.44,0.53,0.52,0.37,0.5,0.0,0.5,0.22,7
385,0.32,0.34,0.61,0.17,0.5,0.0,0.52,0.32,7
386,0.34,0.34,0.61,0.18,0.5,0.0,0.52,0.32,7
