,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
36,6,9,5,4,2,6,9,4,5,4,4,10,5,10,2,8,13
37,3,4,4,7,1,0,1,6,6,0,0,6,0,8,0,8,11
38,4,5,6,4,3,7,8,2,5,10,6,6,5,9,1,7,13
39,1,3,3,2,1,7,8,2,9,11,6,8,1,8,5,7,25
40,6,9,6,4,3,7,6,4,4,9,9,5,3,10,4,4,24
41,0,0,0,1,0,7,7,4,4,7,6,8,0,8,0,8,8
42,8,11,8,8,9,4,10,2,3,9,8,7,9,13,3,5,22
43,2,1,3,2,2,7,9,5,6,7,9,9,3,9,1,8,20
44,6,10,4,5,2,8,7,6,5,9,4,7,5,9,5,9,14
45,3,4,4,3,2,5,12,3,6,11,9,4,1,11,1,5,19
46,4,5,6,4,4,7,6,5,5,8,5,8,3,7,5,6,14
47,4,7,6,10,9,8,9,4,0,8,7,6,5,11,5,7,15
48,2,3,2,2,1,4,9,5,6,12,9,10,1,9,2,7,2
49,3,7,4,5,2,6,6,6,6,10,8,11,2,10,4,9,6
50,4,8,6,6,8,8,7,5,3,7,7,7,6,10,8,9,1
51,3,4,4,3,3,5,7,4,7,7,6,11,3,8,5,9,10
52,8,8,8,6,5,3,10,3,4,11,10,8,8,10,2,6,22
53,2,6,4,4,2,9,11,3,4,4,11,8,2,10,1,8,21
54,4,6,6,4,5,7,11,2,2,7,8,8,6,11,1,8,22
55,5,11,7,8,7,6,6,6,5,6,5,8,6,6,7,10,7
56,4,9,4,7,4,7,8,3,12,9,6,8,0,8,7,7,25
57,1,4,2,3,1,9,6,2,6,12,4,9,1,7,1,7,9
58,2,4,4,3,1,5,11,3,4,13,7,4,1,9,1,7,5
59,5,10,7,8,6,7,7,8,5,7,6,5,4,8,3,7,3
60,3,5,5,4,2,8,7,3,8,11,5,7,1,9,5,8,18
61,8,13,7,8,3,7,8,3,9,13,5,6,2,9,5,5,19
62,4,9,5,7,5,8,9,8,4,7,8,7,4,7,4,9,14
63,2,6,3,4,3,8,7,5,9,7,7,7,1,8,7,8,25
64,3,9,4,7,3,6,7,10,6,7,6,7,2,8,9,10,1
65,3,2,4,3,2,6,10,4,5,10,9,5,2,9,3,6,5
66,6,9,10,7,11,10,5,3,2,9,4,8,11,6,4,7,12
67,2,6,4,4,1,8,15,1,5,6,11,8,0,8,0,8,19
68,7,11,5,6,3,6,7,5,4,7,4,7,5,8,5,7,14
69,2,4,3,3,2,5,7,4,6,6,6,11,3,8,4,10,10
70,1,4,3,3,1,7,7,2,9,11,6,8,1,8,5,8,25
71,3,4,4,3,1,5,13,3,6,12,9,4,1,11,1,5,19
72,4,10,7,8,6,7,10,2,3,6,9,8,8,11,1,8,22
73,3,5,5,3,2,6,2,2,2,5,2,8,2,6,3,6,0
74,2,2,3,3,2,8,8,6,1,5,6,9,2,9,5,10,16
75,9,10,7,14,6,8,7,4,2,12,6,8,3,9,13,6,25
76,4,5,6,7,5,9,10,3,2,8,7,7,3,10,8,6,7
77,5,9,8,6,8,6,6,3,4,7,5,8,7,10,7,6,17
78,1,7,0,4,0,7,7,4,4,7,6,8,0,8,0,8,8
79,2,4,4,3,3,7,8,4,4,9,5,8,2,6,3,10,17
80,5,10,7,7,5,7,9,4,6,5,8,10,6,10,1,7,20
81,4,7,4,5,3,7,6,12,4,7,12,8,3,9,0,8,20
82,7,10,5,5,2,6,8,6,8,11,7,11,2,8,5,9,2
83,5,9,6,7,4,8,7,8,5,7,6,8,3,8,3,8,14
84,7,13,5,7,3,6,8,6,8,10,6,10,1,8,8,8,4
85,5,10,7,7,5,10,6,4,7,11,3,6,4,6,4,8,3
86,5,7,6,5,3,4,8,5,7,9,8,9,3,9,2,5,20
87,3,4,5,3,3,9,7,3,5,11,3,6,2,7,3,9,17
88,2,4,3,3,2,7,7,5,7,7,6,9,2,8,5,10,4
89,6,10,6,8,4,6,7,6,7,10,8,11,2,9,5,9,6
90,5,9,7,6,6,10,6,2,6,11,3,8,3,8,4,12,1
91,4,10,7,7,2,8,7,3,0,7,0,8,3,7,2,8,0
92,1,1,3,2,1,6,10,1,6,8,11,8,1,11,2,8,24
93,2,4,4,6,4,8,11,3,3,5,8,9,2,11,5,6,24
94,5,10,6,8,5,8,6,9,4,7,5,8,3,8,3,8,14
95,7,10,7,7,5,7,6,7,8,11,6,11,2,11,5,9,6
96,5,9,7,7,5,8,3,1,2,6,2,7,3,5,4,7,0
97,3,4,4,3,1,5,9,5,7,12,9,10,1,10,3,7,2
98,4,5,6,7,6,7,8,4,1,8,6,6,4,10,8,5,7
99,4,11,6,8,8,7,7,3,4,7,6,8,7,10,8,6,17
100,4,7,6,5,4,8,6,5,5,8,7,7,3,7,4,6,9
101,4,7,5,5,3,8,7,12,1,6,9,8,8,6,0,8,12
102,3,9,5,7,3,7,11,2,3,6,11,9,2,10,1,8,21
103,2,3,4,2,2,8,8,3,5,9,4,7,2,6,3,10,17
104,3,8,5,6,3,7,12,4,6,7,11,8,2,12,1,8,19
105,5,8,7,9,7,8,9,4,5,7,7,8,5,7,10,10,9
106,3,5,5,3,2,8,7,3,8,11,5,7,1,9,4,8,18
107,6,11,8,9,9,9,7,5,2,6,6,10,8,8,5,10,6
108,2,3,3,2,2,9,6,4,6,10,4,6,2,8,2,9,3
109,2,0,2,1,1,8,6,6,5,6,5,9,2,8,5,10,6
110,5,8,7,10,7,10,5,4,4,8,3,6,3,5,8,8,25
111,6,11,6,8,4,5,7,10,10,7,6,6,3,8,4,8,3
112,1,3,3,2,1,6,3,2,2,5,2,8,1,6,1,7,0
113,1,0,1,0,0,7,13,1,4,7,10,8,0,8,0,8,19
114,2,3,3,1,1,7,7,6,5,7,6,9,2,9,4,10,6
115,1,3,2,1,0,6,4,1,7,8,2,10,0,7,2,9,11
116,6,9,8,7,8,8,4,7,3,7,6,7,8,7,6,3,22
117,0,1,1,2,1,7,7,1,6,7,6,8,0,8,2,8,8
118,6,8,9,7,10,6,8,5,3,6,5,8,13,9,5,8,12
119,4,9,4,4,2,11,4,4,5,12,3,8,2,7,6,12,16
120,2,3,3,4,2,8,7,5,8,4,6,8,0,8,8,8,18
121,9,14,8,8,5,7,4,4,8,9,5,9,3,8,9,9,16
122,3,6,5,4,1,8,8,4,2,6,14,8,3,10,0,8,21
123,5,10,5,8,6,6,8,9,5,6,5,7,2,8,5,11,17
124,7,9,5,13,5,7,8,5,3,11,7,7,3,9,11,6,25
125,4,9,5,7,5,5,8,6,4,8,7,9,3,8,7,10,15
126,8,9,8,6,6,2,12,2,2,10,10,8,7,11,1,7,22
127,3,10,5,7,2,7,7,0,9,14,6,8,0,8,1,8,8
128,3,7,3,5,2,1,12,4,5,12,11,7,0,8,1,6,5
129,5,8,6,10,8,7,9,5,5,7,6,7,4,9,9,7,5
130,4,9,5,7,2,10,6,2,8,14,3,8,0,7,0,8,9
131,5,9,5,7,2,3,12,4,4,10,12,7,3,10,1,8,21
132,6,9,8,6,9,7,8,6,5,7,5,8,8,9,8,6,12
133,9,13,10,8,6,11,11,7,3,4,7,9,9,13,3,6,12
134,4,8,4,6,4,7,7,7,4,10,6,8,3,8,3,6,14
135,1,3,3,1,1,8,8,2,5,14,5,8,1,7,0,8,9
136,3,8,4,6,2,3,6,6,11,7,7,14,0,8,7,7,4
137,6,9,8,5,4,9,3,3,2,9,3,9,8,2,1,9,12
138,9,13,10,7,6,4,9,4,6,10,10,11,5,8,4,6,10
139,5,9,7,6,6,5,10,5,5,10,8,3,1,10,3,7,15
140,5,10,7,8,4,10,3,2,3,8,1,7,2,7,3,8,0
141,2,5,3,3,2,6,7,5,5,9,7,10,2,9,4,9,6
142,5,9,5,4,3,10,7,4,5,7,9,5,4,11,2,7,21
143,2,2,3,3,2,8,7,3,8,6,6,7,2,8,5,7,23
144,1,1,2,1,0,7,4,2,0,7,2,8,2,7,1,8,0
145,6,10,8,8,5,8,6,3,9,12,4,9,3,6,8,9,25
146,4,9,5,6,5,7,6,7,6,6,8,10,2,11,9,7,18
147,8,9,11,7,8,10,6,2,5,9,3,6,10,8,3,9,12
148,4,10,4,8,4,7,8,3,12,9,6,8,0,8,7,7,25
149,4,8,5,6,3,7,7,12,1,7,9,8,8,6,0,8,12
150,12,13,11,7,5,8,11,3,3,5,10,7,8,12,1,6,22
151,7,11,7,8,5,5,10,0,8,11,9,6,1,9,3,4,19
152,2,7,3,5,2,3,7,6,10,7,6,14,0,8,7,8,4
153,1,3,0,4,0,7,7,4,4,7,6,8,0,8,0,8,8
154,5,9,5,4,3,5,9,3,6,9,8,9,5,7,3,7,7
155,4,9,5,7,3,6,8,7,7,7,10,9,3,9,1,8,20
156,4,7,4,4,1,7,7,5,4,7,6,8,3,8,4,8,23
157,3,3,4,2,1,4,12,3,2,10,11,7,2,11,1,8,21
158,5,9,6,4,4,7,9,2,3,7,8,6,8,11,2,7,22
159,3,4,5,3,3,10,6,3,7,10,3,6,2,8,3,9,3
160,4,2,5,4,4,7,8,4,6,7,5,7,3,7,4,8,17
161,3,5,5,4,2,8,7,3,7,10,6,7,1,9,5,8,18
162,7,10,6,5,3,7,8,2,7,11,6,6,2,9,5,6,5
163,5,7,6,6,6,8,6,5,4,7,5,8,7,9,6,3,13
164,3,5,5,8,3,11,5,3,5,10,2,7,2,7,5,11,25
165,3,5,4,7,2,7,7,4,14,10,6,8,0,8,8,8,25
166,1,10,0,7,0,7,7,4,4,7,6,8,0,8,0,8,8
167,8,12,6,9,5,7,11,3,3,13,5,4,3,9,9,9,9
168,2,3,3,4,3,8,8,5,2,8,8,9,2,9,5,8,16
169,5,10,7,8,4,5,13,5,4,13,8,3,2,10,2,5,5
170,2,7,2,5,1,13,2,7,5,14,2,11,0,7,0,8,9
171,3,7,4,5,4,8,8,7,2,7,4,6,4,6,8,8,17
172,4,8,5,6,3,7,8,4,8,11,7,7,2,8,5,6,18
173,3,5,4,4,3,7,7,6,6,7,6,8,3,8,3,8,7
174,4,7,6,5,7,9,6,4,4,6,6,7,7,8,6,7,1
175,6,9,5,4,3,10,4,4,7,11,3,10,3,7,7,11,16
176,1,3,2,2,1,9,2,2,1,8,2,8,1,6,1,8,0
177,3,6,4,4,1,5,11,2,2,8,12,8,1,11,0,8,24
178,3,8,3,6,2,5,9,10,5,8,6,5,2,9,4,8,15
179,2,6,3,4,2,8,12,2,8,5,11,9,1,11,1,8,19
180,4,6,5,4,5,7,7,4,3,6,8,10,5,11,3,8,2
181,5,9,5,6,2,7,8,15,0,7,5,8,3,8,0,8,7
182,2,5,3,4,2,6,7,6,6,10,7,11,2,9,4,9,6
183,4,9,6,7,4,6,9,6,5,7,7,8,6,9,2,6,13
184,4,8,5,6,5,8,8,3,8,7,7,7,0,8,11,8,25
185,5,8,6,10,8,9,9,2,3,6,9,6,9,11,7,5,15
186,2,3,4,2,1,7,7,2,9,11,6,8,1,8,5,7,25
187,2,1,2,1,1,4,7,5,8,7,6,13,0,8,7,9,4
188,2,4,4,2,2,8,7,3,5,10,4,7,2,7,3,10,17
189,3,5,5,3,3,7,8,2,8,11,7,9,2,9,4,8,4
190,3,5,5,4,3,8,7,2,7,11,5,8,2,9,5,10,4
191,7,9,7,11,8,7,10,4,4,7,10,11,5,11,10,9,16
192,8,15,7,9,3,6,10,3,8,13,6,6,2,8,5,4,19
193,7,12,6,6,3,7,8,2,7,11,6,6,2,9,6,5,5
194,5,11,6,8,6,6,7,9,7,6,5,5,2,8,3,7,3
195,0,0,1,1,0,12,4,5,3,12,4,11,0,7,0,8,9
196,4,7,6,9,7,9,10,7,4,7,7,6,5,11,6,3,24
197,4,8,5,6,4,6,8,3,6,10,7,8,2,8,5,6,18
198,4,10,5,8,3,7,6,9,8,6,4,7,3,8,4,8,14
199,5,8,7,6,8,8,10,5,3,7,7,8,7,9,4,9,14
200,2,7,3,5,1,7,7,3,13,9,6,8,0,8,8,8,25
201,9,15,8,8,6,8,6,3,7,10,5,7,6,8,8,5,3
202,1,4,2,3,1,7,7,0,7,13,6,8,0,8,1,8,8
203,5,8,8,6,4,10,7,3,5,10,2,4,5,9,1,7,13
204,3,6,3,4,3,8,8,12,1,7,5,8,3,8,0,8,7
205,6,10,8,7,5,4,8,7,8,9,11,11,3,9,1,8,20
206,3,6,4,4,4,8,6,5,2,7,7,10,6,9,4,7,2
207,8,10,8,8,7,5,7,5,8,8,6,9,8,8,6,1,20
208,9,13,6,7,4,5,8,6,4,10,8,9,5,10,5,8,14
209,3,7,5,5,5,5,7,3,6,7,6,12,2,10,8,6,4
210,6,6,8,4,5,10,6,2,5,9,4,7,8,6,2,8,12
211,3,7,6,5,2,9,10,2,7,3,12,8,2,11,2,9,24
212,3,9,4,7,3,6,8,8,7,10,7,12,2,10,4,10,2
213,5,9,5,5,3,6,7,4,5,9,7,5,3,10,5,4,24
214,2,4,5,3,2,7,8,2,9,11,7,6,1,8,5,7,25
215,1,4,2,2,1,8,7,2,5,14,6,9,1,7,0,7,9
216,2,4,3,2,2,8,8,3,5,10,6,6,2,8,5,9,1
217,2,1,3,2,1,6,8,7,7,8,7,13,1,9,4,10,2
218,4,10,5,8,3,8,7,6,9,4,6,8,0,8,9,8,18
219,3,3,4,4,1,1,15,5,3,12,9,4,0,8,2,6,5
220,6,10,4,5,3,6,8,6,5,9,7,9,5,10,5,8,14
221,6,14,5,8,3,6,10,2,6,11,7,6,2,9,5,4,19
222,1,1,1,1,0,4,6,6,2,7,6,10,3,8,2,10,10
223,3,7,4,5,5,6,8,3,5,6,7,11,4,11,8,8,4
224,8,14,7,8,5,10,6,3,5,10,4,6,4,8,7,10,5
225,5,10,5,7,4,4,11,1,2,8,10,7,3,10,1,8,21
226,5,9,5,4,3,12,3,3,4,10,3,8,3,9,5,12,16
227,7,11,7,8,4,3,10,2,7,10,12,6,2,11,3,5,24
228,3,3,4,2,1,4,10,2,7,10,10,5,2,12,3,4,24
229,4,7,5,5,3,7,7,8,6,7,6,8,3,8,3,8,14
230,2,2,3,3,2,7,8,5,4,7,7,6,5,9,2,5,13
231,4,9,6,6,4,10,2,1,2,8,3,9,5,5,3,7,0
232,2,5,4,4,2,6,10,2,6,13,7,6,1,9,2,7,5
233,4,8,6,6,4,7,8,6,6,6,5,8,4,6,7,9,17
234,3,5,4,7,1,9,14,0,6,5,11,8,0,8,0,8,19
235,7,8,10,6,6,9,6,2,5,9,6,8,8,6,2,8,12
236,2,2,3,3,2,7,7,6,6,7,6,5,2,8,3,7,3
237,5,8,8,6,4,6,12,7,2,11,5,2,1,10,4,9,15
238,5,5,7,8,3,7,7,4,15,9,6,8,0,8,9,8,25
239,6,9,5,5,3,7,7,3,5,9,7,6,3,10,4,5,24
240,4,5,5,4,3,6,11,2,8,11,9,5,3,10,4,4,19
241,9,12,8,7,7,10,7,4,6,10,3,6,7,4,8,8,1
242,2,1,3,2,1,8,2,2,1,7,2,8,2,7,2,7,0
243,4,9,6,7,6,8,7,8,4,7,6,8,3,8,8,4,0
244,7,7,7,5,4,3,11,3,3,10,10,8,7,10,2,6,22
245,3,5,4,8,6,8,9,3,1,8,7,6,4,10,5,8,15
246,4,4,7,3,4,7,5,3,4,10,8,9,7,5,2,8,12
247,4,9,6,6,5,6,8,8,5,6,5,12,5,8,7,4,20
248,3,1,3,3,2,7,7,5,8,7,7,8,2,8,6,9,4
249,4,6,4,4,2,7,7,14,1,5,6,8,6,8,0,8,13
250,4,9,7,7,3,5,12,3,4,8,12,9,2,10,1,8,21
251,4,9,5,7,4,5,10,4,5,10,9,4,4,10,4,7,15
252,7,13,6,7,4,9,8,4,5,13,4,4,4,10,6,6,15
253,7,13,6,7,3,7,11,5,5,8,11,5,4,11,4,8,21
254,4,6,5,4,3,7,6,6,6,10,6,11,2,10,4,10,6
255,2,7,3,5,1,12,2,9,4,13,5,13,1,6,0,8,9
256,2,6,4,4,2,10,3,1,2,8,3,9,2,6,2,8,0
257,6,11,7,8,7,8,6,11,1,7,8,8,9,4,1,8,12
258,3,4,4,2,1,5,13,3,6,12,9,3,1,10,1,5,19
259,4,5,4,6,4,8,6,7,4,9,8,9,3,9,6,8,16
260,5,9,7,6,4,8,9,2,6,14,5,5,2,9,3,8,5
261,2,11,3,8,4,8,7,0,7,7,6,8,0,8,3,7,8
262,6,10,8,8,5,6,9,5,7,6,9,10,6,10,1,7,20
263,2,5,3,8,1,12,3,10,3,13,6,13,1,6,0,8,9
264,3,5,6,3,2,7,8,3,7,11,8,7,1,9,4,6,18
265,5,11,6,8,6,6,6,6,5,6,5,8,5,7,4,10,11
266,3,6,2,9,2,9,8,3,3,12,4,5,2,8,5,10,9
267,5,10,6,8,8,8,8,5,3,8,5,7,5,9,12,8,18
268,2,6,4,4,2,8,12,2,2,5,10,9,2,11,0,9,21
269,4,10,5,8,4,6,7,6,8,5,7,12,1,7,4,9,2
270,4,8,5,6,4,8,7,8,6,7,7,10,3,7,4,7,14
271,5,7,6,8,6,9,8,6,2,4,8,10,3,9,7,10,16
272,8,13,9,7,6,5,9,2,9,12,8,8,6,5,8,2,25
273,2,6,2,4,2,3,6,6,10,7,7,14,0,8,7,8,4
274,3,2,4,4,2,6,8,8,8,9,8,12,2,10,4,9,2
275,6,9,9,8,8,8,8,3,5,7,7,8,5,8,4,5,0
276,4,8,5,6,3,6,9,6,6,5,9,10,3,9,1,8,20
277,7,11,10,8,6,12,7,3,5,10,0,3,7,11,2,9,13
278,6,9,9,7,6,10,5,3,5,9,3,6,8,6,2,9,12
279,4,6,5,4,6,8,10,5,4,8,5,6,4,9,8,7,18
280,4,3,4,4,3,7,8,5,5,7,6,6,6,9,3,6,13
281,2,1,2,1,2,7,7,5,6,7,6,8,2,8,5,10,4
282,3,7,4,5,3,5,11,5,4,11,8,4,1,10,4,7,15
283,1,0,2,1,0,7,9,1,2,6,12,8,1,10,0,8,24
284,3,10,4,7,2,7,6,8,8,6,6,11,2,8,5,11,6
285,6,10,8,8,5,8,6,2,9,12,4,11,3,7,8,9,25
286,2,6,3,4,2,8,6,0,7,13,6,9,0,7,2,8,8
287,2,1,3,2,2,7,8,4,5,6,5,7,2,6,5,8,17
288,3,7,4,5,3,6,8,5,10,7,7,10,2,9,8,8,25
289,3,1,4,3,2,7,12,4,6,7,11,8,2,11,1,8,19
290,4,9,6,7,4,8,5,2,9,11,4,10,2,7,7,9,25
291,4,9,6,6,2,7,6,7,9,7,5,11,1,8,5,10,6
292,3,6,4,4,4,7,8,4,6,8,8,6,5,9,3,7,5
293,2,3,4,2,2,6,7,2,6,10,8,11,3,8,2,8,10
294,2,4,3,3,2,6,6,5,4,8,7,10,2,8,4,10,6
295,4,7,5,5,2,7,6,7,9,6,5,10,1,8,6,11,6
296,7,8,7,6,5,4,11,3,3,9,9,7,7,11,2,6,22
297,1,3,2,2,1,7,7,5,8,6,6,8,2,8,6,8,25
298,7,10,10,8,7,5,6,1,7,9,8,11,3,8,3,8,10
299,3,2,5,4,2,8,2,2,2,7,2,8,2,7,2,7,0
300,4,8,5,6,6,9,9,5,4,8,4,6,4,9,9,7,18
301,7,10,7,8,7,4,11,2,2,9,8,7,7,12,2,6,22
302,2,3,3,5,1,0,1,5,6,0,0,7,0,8,0,8,11
303,3,6,5,4,4,7,8,4,5,9,6,5,2,8,6,6,1
304,6,11,8,8,8,6,8,8,4,7,5,7,3,7,7,10,7
305,4,7,6,5,4,7,8,3,6,10,7,8,3,8,3,8,7
306,2,8,3,6,2,8,7,0,7,13,6,8,0,8,1,8,8
307,8,10,8,5,5,8,6,3,5,10,6,7,7,11,5,8,7
308,5,11,6,8,3,5,8,8,8,8,8,14,2,9,4,9,2
309,3,3,4,4,1,5,8,6,9,6,7,11,1,7,4,9,2
310,5,8,6,7,6,6,9,5,7,8,8,8,4,13,9,6,19
311,3,1,4,3,3,8,6,6,4,7,7,8,7,5,1,7,12
312,2,1,3,2,2,7,7,5,5,6,5,6,5,7,3,8,17
313,7,9,7,4,3,7,8,3,7,9,6,8,6,8,3,7,10
314,3,1,5,3,3,7,11,2,2,7,9,8,7,11,0,8,22
315,4,5,4,4,2,6,11,2,7,11,9,4,1,11,2,4,19
316,6,8,6,6,4,4,13,5,5,11,9,4,2,12,1,5,19
317,3,8,4,6,2,7,7,0,6,13,6,8,0,8,1,8,8
318,3,6,3,4,1,1,0,6,6,0,1,5,0,8,0,8,11
319,4,9,5,7,5,8,6,7,7,6,6,6,2,8,7,10,1
320,6,11,7,8,5,7,7,1,7,7,6,8,0,8,4,8,8
321,5,9,5,4,2,7,7,3,6,9,8,9,6,11,3,7,10
322,4,3,5,2,2,5,8,5,7,10,10,9,3,9,2,6,20
323,4,6,4,4,2,2,12,3,3,11,11,8,2,11,1,8,21
324,1,0,2,1,1,8,7,6,3,6,6,9,2,8,3,8,16
325,4,4,5,6,3,7,5,7,8,6,5,8,2,8,6,11,6
326,4,4,6,6,2,8,7,8,8,7,6,9,3,8,4,8,14
327,2,3,3,2,1,7,8,2,9,11,6,8,1,8,5,7,25
328,3,4,5,6,2,7,5,7,8,6,5,11,1,8,6,11,6
329,3,6,5,4,2,7,10,2,7,6,12,9,2,11,2,8,24
330,5,10,7,7,8,8,5,8,4,8,6,8,3,9,8,3,0
331,2,3,4,1,2,8,6,3,4,9,6,7,6,5,1,7,12
332,9,11,7,6,4,8,7,5,5,10,3,8,6,6,6,11,17
333,4,8,5,6,5,8,8,6,7,7,6,6,2,8,7,10,1
334,4,8,6,6,4,7,10,2,3,7,9,8,8,11,1,8,22
335,4,11,4,8,5,3,9,5,10,7,6,14,0,8,6,8,4
336,4,6,4,4,2,3,12,5,4,11,12,7,3,10,1,8,21
337,0,0,1,0,0,3,11,4,2,11,8,6,0,8,2,8,5
338,3,6,4,4,2,7,7,7,4,9,6,8,3,8,3,8,14
339,4,5,5,4,4,8,4,4,4,9,4,10,3,6,6,6,14
340,5,11,8,8,13,8,5,6,3,7,6,8,14,10,4,9,22
341,3,3,5,1,2,9,6,3,5,10,4,8,3,8,2,9,7
342,2,3,2,1,1,7,7,5,5,7,6,9,2,9,4,9,6
343,3,10,4,7,1,0,1,5,6,0,0,7,0,8,0,8,11
344,5,10,7,8,6,6,6,6,4,7,6,9,5,8,7,10,15
345,3,2,3,3,2,8,8,7,5,8,5,7,2,8,8,8,18
346,3,7,5,5,5,8,8,7,4,6,6,8,2,8,6,5,0
347,5,9,6,6,5,5,8,9,7,7,7,6,2,8,3,8,3
348,4,8,6,6,4,6,8,7,7,11,7,5,3,8,4,8,3
349,3,6,5,4,2,7,9,1,6,14,5,6,0,7,0,7,9
350,4,8,5,7,4,6,7,4,6,7,6,8,3,9,8,10,11
351,13,15,13,8,7,3,8,6,6,4,2,13,9,11,2,8,12
352,5,10,8,8,8,8,11,2,3,6,8,8,8,10,1,8,22
353,5,8,7,6,3,5,8,5,1,7,8,8,8,9,0,8,22
354,5,11,6,8,8,7,8,4,5,6,7,9,7,7,8,7,19
355,5,10,8,7,4,8,10,1,8,5,12,8,1,11,2,8,24
356,1,0,2,0,0,7,8,3,0,7,8,8,5,9,0,8,22
357,5,11,6,8,7,8,7,5,5,10,5,5,3,8,3,8,3
358,5,9,7,7,6,9,6,2,7,11,4,9,3,8,5,11,4
359,2,1,3,2,2,5,7,4,7,7,6,11,3,8,4,9,10
360,4,7,5,5,3,7,7,8,5,8,7,10,3,8,3,7,14
361,5,10,7,7,9,8,8,3,4,6,6,9,10,10,7,7,10
362,5,8,6,7,6,7,4,5,4,7,4,9,5,4,7,6,16
363,2,0,2,1,1,8,6,6,5,6,5,9,1,8,5,10,6
364,6,10,6,5,4,9,6,4,6,10,5,8,3,8,9,9,16
365,6,8,6,6,4,4,9,1,8,10,10,6,0,10,3,4,24
366,2,1,2,2,1,7,8,7,6,8,7,11,2,9,3,10,2
367,6,10,8,8,7,9,6,2,7,11,4,9,5,7,6,11,4
368,2,3,3,2,1,8,6,3,6,14,6,10,0,7,0,8,9
369,3,5,6,4,3,5,7,2,8,11,9,11,4,7,4,7,10
370,6,10,8,8,11,7,6,4,5,7,7,8,11,9,7,10,20
371,2,2,3,3,2,8,7,5,5,6,6,5,2,8,7,9,1
372,5,11,8,8,5,6,7,2,7,10,7,10,4,8,4,8,10
373,2,2,3,4,2,6,8,7,7,8,8,13,1,9,4,10,2
374,8,11,11,8,7,4,11,3,4,10,10,8,6,8,1,7,13
375,4,7,4,5,3,6,11,5,5,11,8,4,3,12,2,4,19
376,4,6,4,4,2,7,7,14,2,5,6,8,6,8,0,8,13
377,5,6,5,4,4,5,11,3,2,9,8,7,6,12,2,7,22
378,6,9,5,4,3,11,3,4,5,11,3,10,3,8,5,13,16
379,9,14,7,8,5,6,8,5,7,10,6,8,6,6,7,9,1
380,2,1,2,2,1,8,11,3,5,7,10,7,2,11,1,7,19
381,2,3,3,1,1,7,9,2,5,13,6,5,1,9,2,8,5
382,6,13,5,7,3,8,7,3,7,11,5,7,2,9,5,6,19
383,4,9,6,7,5,8,2,3,1,7,2,8,5,8,6,7,0
384,5,9,7,6,4,7,8,6,6,7,7,6,6,10,2,5,13
385,5,11,7,8,4,8,9,6,10,5,6,6,0,8,9,7,18
